日付,時刻,緯度,経度,高度,速度,距離,積算距離
26/06/01,17:28:08,33.8379,132.1179,6.20,0.00,42.64,358.3m,"<+33.83792793,+132.11796176> +/- 19.97m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分08秒 日本標準時","<+33.83763101,+132.11766923> +/- 37.82m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分02秒 日本標準時"
26/06/01,17:28:15,33.8384,132.1181,6.24,0.00,61.42,419.7m,"<+33.83844827,+132.11818874> +/- 40.94m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分15秒 日本標準時","<+33.83792793,+132.11796176> +/- 19.97m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分08秒 日本標準時"
26/06/01,17:28:17,33.8385,132.1182,6.47,0.00,7.52,427.2m,"<+33.83851368,+132.11821008> +/- 43.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分17秒 日本標準時","<+33.83844827,+132.11818874> +/- 40.94m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分15秒 日本標準時"
26/06/01,17:28:18,33.8385,132.1182,6.47,0.00,0.05,427.2m,"<+33.83851408,+132.11821025> +/- 43.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分18秒 日本標準時","<+33.83851368,+132.11821008> +/- 43.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分17秒 日本標準時"
26/06/01,17:28:22,33.8385,132.1183,6.53,0.00,17.57,444.8m,"<+33.83853982,+132.11839754> +/- 48.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分22秒 日本標準時","<+33.83851408,+132.11821025> +/- 43.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分18秒 日本標準時"
26/06/01,17:28:29,33.8392,132.1179,7.40,0.00,86.21,531.0m,"<+33.83923013,+132.11796949> +/- 48.63m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分29秒 日本標準時","<+33.83853982,+132.11839754> +/- 48.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分22秒 日本標準時"
26/06/01,17:28:35,33.8406,132.1171,9.43,0.00,173.93,705.0m,"<+33.84065741,+132.11719117> +/- 39.78m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分35秒 日本標準時","<+33.83923013,+132.11796949> +/- 48.63m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分29秒 日本標準時"
26/06/01,17:28:38,33.8406,132.1172,8.82,0.00,4.86,709.8m,"<+33.84068941,+132.11722704> +/- 29.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分38秒 日本標準時","<+33.84065741,+132.11719117> +/- 39.78m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分35秒 日本標準時"
26/06/01,17:28:52,33.8409,132.1165,11.66,0.00,65.38,775.2m,"<+33.84091082,+132.11657234> +/- 288.77m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分52秒 日本標準時","<+33.84068941,+132.11722704> +/- 29.00m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分38秒 日本標準時"
26/06/01,17:28:53,33.8412,132.1164,11.62,0.00,41.00,816.2m,"<+33.84125717,+132.11641767> +/- 289.81m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分53秒 日本標準時","<+33.84091082,+132.11657234> +/- 288.77m (speed -1.00 mps / course -1.00) @ 2026/06/01 17時28分52秒 日本標準時"
